Severity,TAPP,Row,Field,Check,Message
INFO,(cross-TAPP),,Oxide Production Method and Threshold,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.67) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Per-Analyte Calibration Strategy,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.02) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Phase Identification Method,colb-divergence-principled,Description differs across 2 TAPPs in 2 variants (similarity 0.33) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Plasma Thermal Mode,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.24) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Primary Calibration Standard Name,colb-divergence-principled,Description differs across 12 TAPPs in 5 variants (similarity 0.02) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Pulse/Analog Detector Nonlinearity Correction,colb-divergence-principled,Description differs across 6 TAPPs in 3 variants (similarity 0.30) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,RF Power,colb-divergence-mixed,Description differs across 9 TAPPs in 2 variants (similarity 0.40) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Reaction Gas Flow Rate,colb-divergence-principled,Description differs across 6 TAPPs in 4 variants (similarity 0.34) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Reaction Gas Type,colb-divergence-principled,Description differs across 6 TAPPs in 4 variants (similarity 0.24) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Sample Name,colb-divergence-principled,Description differs across 16 TAPPs in 4 variants (similarity 0.49) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Sample Persistent Identifier,colb-divergence-mixed,Description differs across 16 TAPPs in 4 variants (similarity 0.30) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Sample Preparation Method,colb-divergence-principled,Description differs across 15 TAPPs in 5 variants (similarity 0.01) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Sampler and Skimmer Cone Material,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.20) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Secondary Reference Materials,colb-divergence-mixed,Description differs across 12 TAPPs in 5 variants (similarity 0.09) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Signal Integration Interval Method,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.02) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Signal Integration Time,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.21) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Spike / Outlier Filtering Approach,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.10) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Stage Scan vs. Beam Scan,colb-divergence-mixed,Description differs across 3 TAPPs in 2 variants (similarity 0.34) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Step Size / Pixel Size,colb-divergence-principled,Description differs across 3 TAPPs in 2 variants (similarity 0.47) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Target Material,colb-divergence-principled,Description differs across 16 TAPPs in 7 variants (similarity 0.06) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Torch Type,colb-divergence-principled,Description differs across 9 TAPPs in 2 variants (similarity 0.33) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Within-Session Analytical Precision and Assessment Method,colb-divergence-mixed,Description differs across 8 TAPPs in 2 variants (similarity 0.18) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
